emotion;hashtag;value
anticipation;#snl;9,49624E+13
anticipation;population;9,47811E+14
anticipation;experiment;9,46494E+14
anticipation;chapel;9,46494E+14
anticipation;mafia;9,4471E+14
anticipation;barcelona;9,38195E+14
anticipation;isaac;9,38195E+14
anticipation;workaholics;9,38195E+14
anticipation;paranormal;9,38195E+14
anticipation;webster;9,38195E+14
anticipation;returns;9,38195E+14
anticipation;legitimate;9,38195E+14
anticipation;tamil;9,38195E+14
anticipation;discovery;9,38195E+14
anticipation;ooooh;9,38195E+14
anticipation;calories;9,38195E+14
anticipation;#special;9,38195E+14
anticipation;meyer;9,38195E+14
anticipation;#graduation;9,38195E+14
anticipation;puerto;9,38195E+14
anticipation;juniors;9,38195E+14
anticipation;clarke;9,38195E+14
anticipation;midget;9,38195E+14
anticipation;kris;9,38195E+14
anticipation;mortgage;9,38195E+14
anticipation;craft;9,38195E+14
anticipation;clause;9,38195E+14
anticipation;pints;9,38195E+14
anticipation;scanner;9,38195E+14
anticipation;loan;9,38195E+14
anticipation;apply;9,38195E+14
anticipation;pakistan;9,38195E+14
anticipation;overseas;9,38195E+14
anticipation;standard;9,38195E+14
anticipation;30th;9,38195E+14
anticipation;peyton;9,38195E+14
anticipation;effects;9,34071E+14
anticipation;countries;9,34071E+14
anticipation;champions;9,34071E+14
anticipation;predict;9,31226E+14
anticipation;opportunities;9,31226E+14
anticipation;vs;9,27217E+14
anticipation;revealing;9,25292E+14
anticipation;tuning;9,25292E+14
anticipation;solar;9,25292E+14
anticipation;fuse;9,25292E+14
anticipation;sportscenter;9,25292E+14
anticipation;#maybe;9,25292E+14
anticipation;bouta;9,25292E+14
anticipation;memphis;9,25292E+14
